subject, StimLat, CurrentTask, TaskCondition, chooseSequence, block, trial, ThisITI, SetSize, ShownLocs, AllColors, ShownColors, ProbeType, ProbeMatch, ChosenProbeColor, CorrectProbeColor, correctResp, ProbeLoc, probert, msecProbeRT, probeACC, response, error, scannerStart, runStart, trialStart, stimStart, probeStart, stimFlip, SeqStartTime, Onset, centralJitter, LastITI, matchCond
103, Left, 1, SpatialChangeDetection, 16, 1, 17, 1.500000e+00, 7, [1 2 3 4 5 6 7], [1 21 41 61 81 101 121 141 160], [101 160 141 41 121 81 1], 1, 1, 4, 41, 1, 4, 1.148308e+00, 1148, 0, 2, NA, 1.634139e+06, 1.634145e+06, 1.634226e+06, 1.634227e+06, 1.634229e+06, 1.634227e+06, 8.250000e+01, 8.850000e+01, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 18, 2, 3, [4 5 6], [1 21 41 61 81 101 121 141 160], [61 141 1], 1, 1, 2, 141, 1, 5, 1.158419e+00, 1158, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634231e+06, 1.634233e+06, 1.634234e+06, 1.634233e+06, 88, 94, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 19, 1.500000e+00, 5, [5 6 7 8 9], [1 21 41 61 81 101 121 141 160], [21 41 81 61 1], 1, 1, 5, 1, 1, 9, 7.148072e-01, 715, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634236e+06, 1.634238e+06, 1.634239e+06, 1.634238e+06, 93, 99, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 20, 1.500000e+00, 5, [4 5 6 7 8], [1 21 41 61 81 101 121 141 160], [1 160 41 101 121], 1, 2, 2, 160, 2, 4, 9.337832e-01, 934, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634241e+06, 1.634243e+06, 1.634244e+06, 1.634243e+06, 98, 104, 0, 6, lure
103, Left, 1, SpatialChangeDetection, 16, 1, 21, 1, 3, [6 7 8], [1 21 41 61 81 101 121 141 160], [160 81 41], 1, 1, 3, 41, 1, 8, 1.210415e+00, 1210, 0, 2, NA, 1.634139e+06, 1.634145e+06, 1.634246e+06, 1.634247e+06, 1.634249e+06, 1.634247e+06, 1.025000e+02, 1.085000e+02, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 22, 1, 3, [3 4 5], [1 21 41 61 81 101 121 141 160], [141 21 81], 1, 1, 2, 21, 1, 4, 6.727280e-01, 673, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634251e+06, 1.634252e+06, 1.634253e+06, 1.634252e+06, 107, 113, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 23, 1.500000e+00, 3, [1 2 3], [1 21 41 61 81 101 121 141 160], [81 160 61], 1, 1, 1, 81, 1, 1, 1.163164e+00, 1163, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634255e+06, 1.634257e+06, 1.634258e+06, 1.634257e+06, 112, 118, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 24, 1, 1, 2, [1 21 41 61 81 101 121 141 160], 81, 1, 2, 9, 121, 2, 2, 6.912894e-01, 691, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634260e+06, 1.634261e+06, 1.634263e+06, 1.634261e+06, 1.165000e+02, 1.225000e+02, 0, 6, novel non-match
103, Left, 1, SpatialChangeDetection, 16, 1, 25, 1.500000e+00, 5, [1 2 3 4 5], [1 21 41 61 81 101 121 141 160], [61 41 101 21 81], 1, 2, 9, 160, 2, 5, 8.546321e-01, 855, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634265e+06, 1.634266e+06, 1.634268e+06, 1.634266e+06, 1.215000e+02, 1.275000e+02, 0, 6, novel non-match
103, Left, 1, SpatialChangeDetection, 16, 1, 26, 2.500000e+00, 1, 4, [1 21 41 61 81 101 121 141 160], 121, 1, 2, 9, 81, 2, 4, 5.682888e-01, 568, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634270e+06, 1.634272e+06, 1.634274e+06, 1.634272e+06, 1.275000e+02, 1.335000e+02, 0, 6, novel non-match
103, Left, 1, SpatialChangeDetection, 16, 1, 27, 1, 1, 8, [1 21 41 61 81 101 121 141 160], 121, 1, 2, 9, 160, 2, 8, 6.249132e-01, 625, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634276e+06, 1.634277e+06, 1.634278e+06, 1.634277e+06, 132, 138, 0, 6, novel non-match
