onset	duration	block	counterbalance	ChosenProbeColor	CorrectProbeColor	CurrentTask	LastITI	ProbeLoc	ProbeMatch	ProbeType	SeqStartTime	SetSize	ThisITI	centralJitter	chooseSequence	correctResp	error	msecProbeRT	probeACC	probeStart	probert	response	runStart	scannerStart	stimFlip	stimStart	subject	trialStart
6.0	3.5	3	1	3	101	1	8.5	3	2	1	0.0	3	0.0	0	6	2	None	1258.0	1	1635217.0	1.257981	2	1635216.0	1635210.0	1635216.0	1635216.0	103	1635216.0
12.5	3.5	3	1	1	21	1	8.5	5	1	1	6.5	1	3.0	0	6	1	None	527.0	1	1635224.0	0.5274991	1	1635216.0	1635210.0	1635222.0	1635222.0	103	1635219.0
17.0	3.5	3	1	1	141	1	8.5	8	1	1	11.0	1	1.0	0	6	1	None	503.0	1	1635228.0	0.503025	1	1635216.0	1635210.0	1635227.0	1635227.0	103	1635226.0
22.0	3.5	3	1	3	1	1	8.5	5	2	1	16.0	4	1.5	0	6	2	None	688.0	1	1635233.0	0.6880421999999999	2	1635216.0	1635210.0	1635232.0	1635232.0	103	1635230.0
26.5	3.5	3	1	1	160	1	8.5	7	1	1	20.5	3	1.0	0	6	1	None	625.0	1	1635238.0	0.6245092	1	1635216.0	1635210.0	1635236.0	1635236.0	103	1635235.0
31.5	3.5	3	1	9	121	1	8.5	4	2	1	25.5	1	1.5	0	6	2	None	581.0	1	1635243.0	0.5810675000000001	2	1635216.0	1635210.0	1635241.0	1635241.0	103	1635240.0
36.0	3.5	3	1	1	1	1	8.5	5	1	1	30.0	1	1.0	0	6	1	None	498.0	1	1635247.0	0.4979274	1	1635216.0	1635210.0	1635246.0	1635246.0	103	1635245.0
40.5	3.5	3	1	3	21	1	8.5	2	2	1	34.5	7	1.0	0	6	2	None	721.0	1	1635252.0	0.7205824000000001	2	1635216.0	1635210.0	1635250.0	1635250.0	103	1635249.0
46.0	3.5	3	1	4	81	1	8.5	6	1	1	40.0	7	2.0	0	6	1	None	1212.0	1	1635257.0	1.212104	1	1635216.0	1635210.0	1635256.0	1635256.0	103	1635254.0
51.5	3.5	3	1	9	21	1	8.5	8	2	1	45.5	5	2.0	0	6	2	None	668.0	1	1635263.0	0.6679031	2	1635216.0	1635210.0	1635261.0	1635261.0	103	1635259.0
56.5	3.5	3	1	5	41	1	8.5	5	1	1	50.5	7	1.5	0	6	1	None	992.0	0	1635268.0	0.9923011	2	1635216.0	1635210.0	1635266.0	1635266.0	103	1635265.0
61.0	3.5	3	1	1	41	1	8.5	3	1	1	55.0	4	1.0	0	6	1	None	875.0	1	1635272.0	0.8752841999999998	1	1635216.0	1635210.0	1635271.0	1635271.0	103	1635270.0
65.5	3.5	3	1	9	141	1	8.5	7	2	1	59.5	3	1.0	0	6	2	None	651.0	1	1635277.0	0.6506857	2	1635216.0	1635210.0	1635275.0	1635275.0	103	1635274.0
70.0	3.5	3	1	9	1	1	8.5	2	2	1	64.0	5	1.0	0	6	2	None	772.0	1	1635281.0	0.7716728	2	1635216.0	1635210.0	1635280.0	1635280.0	103	1635279.0
78.0	3.5	3	1	3	121	1	8.5	5	1	1	72.0	7	4.5	0	6	1	None	1107.0	0	1635289.0	1.106674	2	1635216.0	1635210.0	1635288.0	1635288.0	103	1635283.0
83.0	3.5	3	1	1	141	1	8.5	3	1	1	77.0	1	1.5	0	6	1	None	444.0	1	1635294.0	0.4444012	1	1635216.0	1635210.0	1635293.0	1635293.0	103	1635291.0
88.5	3.5	3	1	1	101	1	8.5	4	1	1	82.5	1	2.0	0	6	1	None	462.0	1	1635300.0	0.46154229999999996	1	1635216.0	1635210.0	1635298.0	1635298.0	103	1635296.0
94.5	3.5	3	1	3	160	1	8.5	7	2	1	88.5	3	2.5	0	6	2	None	716.0	1	1635306.0	0.7161607	2	1635216.0	1635210.0	1635304.0	1635304.0	103	1635302.0
100.5	3.5	3	1	1	160	1	8.5	2	1	1	94.5	1	2.5	0	6	1	None	516.0	1	1635312.0	0.5157307	1	1635216.0	1635210.0	1635310.0	1635310.0	103	1635308.0
105.5	3.5	3	1	9	61	1	8.5	7	2	1	99.5	1	1.5	0	6	2	None	732.0	1	1635317.0	0.7320569	2	1635216.0	1635210.0	1635315.0	1635315.0	103	1635314.0
110.5	3.5	3	1	5	141	1	8.5	5	2	1	104.5	5	1.5	0	6	2	None	741.0	1	1635322.0	0.7406928	2	1635216.0	1635210.0	1635320.0	1635320.0	103	1635319.0
116.5	3.5	3	1	2	41	1	8.5	5	1	1	110.5	4	2.5	0	6	1	None	934.0	0	1635328.0	0.9338662	2	1635216.0	1635210.0	1635326.0	1635326.0	103	1635324.0
125.0	3.5	3	1	4	61	1	8.5	5	1	1	119.0	5	5.0	0	6	1	None	1342.0	0	1635336.0	1.341617	2	1635216.0	1635210.0	1635335.0	1635335.0	103	1635330.0
129.5	3.5	3	1	9	141	1	8.5	4	2	1	123.5	7	1.0	0	6	2	None	1071.0	1	1635341.0	1.070941	2	1635216.0	1635210.0	1635339.0	1635339.0	103	1635338.0
134.5	3.5	3	1	2	160	1	8.5	7	1	1	128.5	4	1.5	0	6	1	None	731.0	1	1635346.0	0.7312166999999999	1	1635216.0	1635210.0	1635344.0	1635344.0	103	1635343.0
139.0	3.5	3	1	2	1	1	8.5	3	1	1	133.0	5	1.0	0	6	1	None	1625.0	0	1635350.0	1.625006	2	1635216.0	1635210.0	1635349.0	1635349.0	103	1635348.0
147.0	3.5	3	1	3	101	1	8.5	8	1	1	141.0	4	4.5	0	6	1	None	704.0	1	1635358.0	0.7040425	1	1635216.0	1635210.0	1635357.0	1635357.0	103	1635352.0
151.5	3.5	3	1	9	121	1	8.5	1	2	1	145.5	4	1.0	0	6	2	None	709.0	1	1635363.0	0.7093224	2	1635216.0	1635210.0	1635361.0	1635361.0	103	1635360.0
158.0	3.5	3	1	4	1	1	8.5	7	1	1	152.0	4	3.0	0	6	1	None	625.0	1	1635369.0	0.6248001	1	1635216.0	1635210.0	1635368.0	1635368.0	103	1635365.0
163.0	3.5	3	1	2	141	1	8.5	4	1	1	157.0	7	1.5	0	6	1	None	1308.0	1	1635374.0	1.3080969999999998	1	1635216.0	1635210.0	1635373.0	1635373.0	103	1635371.0
