,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,-29.57224678993225,-5.816677570343018,74.05746871232986,6.514537096525516,26859
1,1a,-59.156489193439484,11.933643102645874,37.86669319868088,6.042592182869361,
2,1b,-39.43385112285614,-14.442461967468262,58.31573635339737,5.48030049700381,
3,1c,-29.577182054519653,23.967987060546875,11.243831098079681,5.171979407261075,
4,2,-27.113585829734802,-28.48589253425598,-13.041308462619781,5.595439924437088,16620
5,2a,-44.369589388370514,-23.37114977836609,-15.136551916599274,4.417575617365565,
6,2b,-29.580410301685333,-11.938385248184204,-34.28245311975479,4.4160092854119135,
7,2c,-22.184112191200256,-8.02647089958191,-21.42787915468216,4.320876810431527,
8,3,24.653286695480347,-5.769506216049194,-18.741777777671814,5.422067255393264,22696
9,3a,12.328654289245605,-19.057942152023315,-7.2696035504341125,5.264200082117344,
10,3b,9.861449718475342,-19.309672117233276,-34.87853479385376,4.972218685468007,
11,3c,39.44398385286331,-22.969646215438843,-20.126789391040802,4.916272316028132,
12,4,-56.693461894989014,-15.346989870071411,8.082701027393341,5.179807775631404,3539
13,4a,-44.36788064241409,-17.80409049987793,7.884069323539734,4.401258676333275,
14,4b,-34.50722551345825,-8.17582392692566,11.1660658121109,3.5668690211136695,
15,4c,-39.43764805793762,-15.346884727478027,8.081395089626312,3.523195591181854,
16,5,22.194244980812073,-26.92846155166626,59.8145250082016,4.565323984791563,1944
17,5a,34.51944679021835,-19.155866384506226,55.42279452085495,3.8862000375811783,
18,5b,44.37991225719452,-1.9555761814117432,56.80594050884247,3.1256732215444827,
19,6,-19.713301301002502,-38.61310625076294,51.35336059331894,4.3916066583308675,2567
20,6a,-17.247615456581116,-36.757404804229736,59.02671444416046,3.8807749817060184,
21,6b,-4.9226038455963135,-43.52736759185791,50.95684343576431,3.3922910572665037,
22,6c,-19.713490843772888,-26.126731157302856,49.849907875061035,2.990927061368662,
23,7,22.19063937664032,33.39601254463196,17.014603197574615,4.386419987061318,9039
24,7a,22.190259337425232,19.053951025009155,10.84451550245285,4.228922101678453,
25,7b,24.654996156692505,29.28366184234619,6.651230156421661,3.7704701920534847,
26,7c,17.260027050971985,28.88262391090393,11.635684192180634,3.7348167388601445,
27,8,51.7745019197464,8.67515754699707,47.628387689590454,4.321934118148784,2491
28,8a,36.98342436552048,-3.2098183631896973,41.65711826086044,3.755651844151684,
29,8b,46.843699872493744,9.27661681175232,40.15291929244995,3.55257436501501,
30,8c,51.77355247735977,-0.1510632038116455,34.37785625457764,3.3407598414504864,
31,9,-49.29488468170166,27.930954694747925,54.20152223110199,4.307147728473789,2734
32,9a,-46.830337822437286,33.446810483932495,47.12089192867279,4.035674816039401,
33,9b,-39.43460953235626,25.674335479736328,51.511129915714264,3.7644089955729747,
34,9c,-49.29488492012024,18.102251768112183,53.4107266664505,3.445091988218894,
35,10,19.726280629634857,-43.57843589782715,20.853912830352783,4.028023363959294,1792
36,10a,27.121819376945496,-38.86453580856323,23.740698099136353,3.83862479969821,
37,10b,24.657462179660797,-51.952415227890015,32.7201789021492,3.480457683245607,
38,11,64.09742534160614,6.56783127784729,12.344796657562256,3.9923863535146866,1321
39,11a,56.70207637548447,-0.8037409782409668,11.75225967168808,3.7515023845829387,
40,12,-2.4584364891052246,-30.238991737365723,39.4854154586792,3.953683233037539,1184
41,13,54.23809963464737,17.650671243667603,28.2857204079628,3.7970692365908425,501
42,14,-29.576993942260742,-47.49060559272766,8.00251042842865,3.7425510749862885,1579
43,14a,-34.507036447525024,-40.31960487365723,11.087927401065826,3.365936120316664,
44,14b,-24.64619207382202,-55.46359205245972,14.884882152080536,3.2168942239891583,
45,14c,-39.437269151210785,-47.691162109375,10.495203852653503,2.9515009664103626,
46,15,44.3747872710228,32.943936347961426,-8.104246497154236,3.3477864842547316,319
47,16,-7.387908518314362,15.645331382751465,53.20985621213913,3.30337441478392,470
48,16a,-9.85321432352066,28.131691455841064,51.70659005641937,3.0441721969743,
