onset	duration	block	counterbalance	ChosenProbeColor	CorrectProbeColor	CurrentTask	LastITI	ProbeLoc	ProbeMatch	ProbeType	SeqStartTime	SetSize	ThisITI	centralJitter	chooseSequence	correctResp	error	msecProbeRT	probeACC	probeStart	probert	response	runStart	scannerStart	stimFlip	stimStart	subject	trialStart
6.0	3.5	5	1	4	61	1	6.0	4	2	1	0.0	4	0.0	0	11	2	None	1023.0	1	1636249.0	1.022912	2	1636247.0	1636241.0	1636247.0	1636247.0	103	1636247.0
10.5	3.5	5	1	9	41	1	6.0	7	2	1	4.5	4	1.0	0	11	2	None	785.0	1	1636253.0	0.7854793000000001	2	1636247.0	1636241.0	1636251.0	1636251.0	103	1636251.0
17.5	3.5	5	1	3	101	1	6.0	5	1	1	11.5	3	3.5	0	11	1	None	699.0	1	1636260.0	0.6988939000000001	1	1636247.0	1636241.0	1636258.0	1636258.0	103	1636255.0
24.0	3.5	5	1	9	160	1	6.0	6	2	1	18.0	7	3.0	0	11	2	None	819.0	1	1636266.0	0.8186915	2	1636247.0	1636241.0	1636265.0	1636265.0	103	1636262.0
29.5	3.5	5	1	1	101	1	6.0	3	2	1	23.5	3	2.0	0	11	2	None	690.0	1	1636272.0	0.690066	2	1636247.0	1636241.0	1636270.0	1636270.0	103	1636269.0
35.5	3.5	5	1	9	41	1	6.0	4	2	1	29.5	1	2.5	0	11	2	None	558.0	1	1636278.0	0.5581693	2	1636247.0	1636241.0	1636276.0	1636276.0	103	1636274.0
42.0	3.5	5	1	3	141	1	6.0	6	1	1	36.0	4	3.0	0	11	1	None	685.0	1	1636284.0	0.6849873000000001	1	1636247.0	1636241.0	1636283.0	1636283.0	103	1636280.0
48.0	3.5	5	1	1	61	1	6.0	6	1	1	42.0	1	2.5	0	11	1	None	395.0	1	1636290.0	0.394994	1	1636247.0	1636241.0	1636289.0	1636289.0	103	1636287.0
54.0	3.5	5	1	3	41	1	6.0	5	2	1	48.0	3	2.5	0	11	2	None	1085.0	1	1636296.0	1.084633	2	1636247.0	1636241.0	1636295.0	1636295.0	103	1636293.0
60.5	3.5	5	1	9	101	1	6.0	5	2	1	54.5	7	3.0	0	11	2	None	656.0	1	1636303.0	0.6563135999999999	2	1636247.0	1636241.0	1636301.0	1636301.0	103	1636299.0
65.0	3.5	5	1	1	61	1	6.0	2	1	1	59.0	7	1.0	0	11	1	None	983.0	1	1636307.0	0.9832805	1	1636247.0	1636241.0	1636306.0	1636306.0	103	1636305.0
69.5	3.5	5	1	9	81	1	6.0	9	2	1	63.5	1	1.0	0	11	2	None	514.0	1	1636312.0	0.5138654	2	1636247.0	1636241.0	1636310.0	1636310.0	103	1636309.0
76.0	3.5	5	1	1	160	1	6.0	1	1	1	70.0	5	3.0	0	11	1	None	557.0	1	1636318.0	0.5572889	1	1636247.0	1636241.0	1636317.0	1636317.0	103	1636314.0
83.0	3.5	5	1	1	21	1	6.0	9	1	1	77.0	1	3.5	0	11	1	None	586.0	1	1636325.0	0.5864111999999999	1	1636247.0	1636241.0	1636324.0	1636324.0	103	1636320.0
87.5	3.5	5	1	2	1	1	6.0	5	2	1	81.5	4	1.0	0	11	2	None	640.0	1	1636330.0	0.640146	2	1636247.0	1636241.0	1636328.0	1636328.0	103	1636327.0
92.0	3.5	5	1	3	101	1	6.0	4	1	1	86.0	3	1.0	0	11	1	None	827.0	1	1636334.0	0.8265007	1	1636247.0	1636241.0	1636333.0	1636333.0	103	1636332.0
97.0	3.5	5	1	9	160	1	6.0	3	2	1	91.0	5	1.5	0	11	2	None	667.0	1	1636339.0	0.6672236999999999	2	1636247.0	1636241.0	1636338.0	1636338.0	103	1636336.0
102.5	3.5	5	1	9	81	1	6.0	6	2	1	96.5	7	2.0	0	11	2	None	972.0	1	1636345.0	0.9719743000000001	2	1636247.0	1636241.0	1636343.0	1636343.0	103	1636341.0
107.0	3.5	5	1	3	101	1	6.0	7	1	1	101.0	5	1.0	0	11	1	None	724.0	1	1636349.0	0.7239774999999999	1	1636247.0	1636241.0	1636348.0	1636348.0	103	1636347.0
111.5	3.5	5	1	9	141	1	6.0	6	2	1	105.5	1	1.0	0	11	2	None	571.0	1	1636354.0	0.571382	2	1636247.0	1636241.0	1636352.0	1636352.0	103	1636351.0
118.5	3.5	5	1	2	1	1	6.0	3	1	1	112.5	5	3.5	0	11	1	None	1312.0	1	1636361.0	1.311558	1	1636247.0	1636241.0	1636359.0	1636359.0	103	1636356.0
123.5	3.5	5	1	3	101	1	6.0	7	1	1	117.5	3	1.5	0	11	1	None	645.0	1	1636366.0	0.6445095999999999	1	1636247.0	1636241.0	1636364.0	1636364.0	103	1636363.0
128.5	3.5	5	1	3	141	1	6.0	5	2	1	122.5	5	1.5	0	11	2	None	792.0	1	1636371.0	0.792371	2	1636247.0	1636241.0	1636369.0	1636369.0	103	1636368.0
133.0	3.5	5	1	4	61	1	6.0	3	2	1	127.0	7	1.0	0	11	2	None	1715.0	1	1636375.0	1.715057	2	1636247.0	1636241.0	1636374.0	1636374.0	103	1636373.0
138.0	3.5	5	1	6	21	1	6.0	6	2	1	132.0	7	1.5	0	11	2	None	1642.0	1	1636380.0	1.641996	2	1636247.0	1636241.0	1636379.0	1636379.0	103	1636377.0
142.5	3.5	5	1	9	81	1	6.0	6	2	1	136.5	3	1.0	0	11	2	None	858.0	1	1636385.0	0.8578163000000001	2	1636247.0	1636241.0	1636383.0	1636383.0	103	1636382.0
148.0	3.5	5	1	1	61	1	6.0	7	1	1	142.0	1	2.0	0	11	1	None	458.0	1	1636390.0	0.4575004	1	1636247.0	1636241.0	1636389.0	1636389.0	103	1636387.0
154.5	3.5	5	1	2	101	1	6.0	5	2	1	148.5	4	3.0	0	11	2	None	671.0	0	1636397.0	0.6706696	1	1636247.0	1636241.0	1636395.0	1636395.0	103	1636392.0
