onset	duration	block	counterbalance	ChosenProbeColor	CorrectProbeColor	CurrentTask	LastITI	ProbeLoc	ProbeMatch	ProbeType	SeqStartTime	SetSize	ThisITI	centralJitter	chooseSequence	correctResp	error	msecProbeRT	probeACC	probeStart	probert	response	runStart	scannerStart	stimFlip	stimStart	subject	trialStart
6.0	3.5	7	1	1	101	1	6.0	1	1	1	0.0	5	0.0	0	1	1	None	1114.0	1	1637260.0	1.11439	1	1637259.0	1637253.0	1637259.0	1637259.0	103	1637259.0
10.5	3.5	7	1	1	21	1	6.0	5	1	1	4.5	3	1.0	0	1	1	None	707.0	0	1637265.0	0.7071878	2	1637259.0	1637253.0	1637263.0	1637263.0	103	1637262.0
15.5	3.5	7	1	9	81	1	6.0	6	2	1	9.5	4	1.5	0	1	2	None	776.0	1	1637270.0	0.7756930999999999	2	1637259.0	1637253.0	1637268.0	1637268.0	103	1637267.0
25.0	3.5	7	1	2	101	1	6.0	7	2	1	19.0	5	6.0	0	1	2	None	1264.0	0	1637279.0	1.264148	1	1637259.0	1637253.0	1637278.0	1637278.0	103	1637272.0
30.5	3.5	7	1	1	121	1	6.0	7	1	1	24.5	1	2.0	0	1	1	None	416.0	1	1637285.0	0.4157564	1	1637259.0	1637253.0	1637283.0	1637283.0	103	1637281.0
35.0	3.5	7	1	9	160	1	6.0	4	2	1	29.0	7	1.0	0	1	2	None	656.0	1	1637289.0	0.6560976	2	1637259.0	1637253.0	1637288.0	1637288.0	103	1637287.0
40.5	3.5	7	1	4	61	1	6.0	3	2	1	34.5	5	2.0	0	1	2	None	823.0	0	1637295.0	0.8226708	1	1637259.0	1637253.0	1637293.0	1637293.0	103	1637291.0
45.0	3.5	7	1	1	141	1	6.0	9	1	1	39.0	1	1.0	0	1	1	None	379.0	1	1637299.0	0.3792954	1	1637259.0	1637253.0	1637298.0	1637298.0	103	1637297.0
49.5	3.5	7	1	9	141	1	6.0	3	2	1	43.5	1	1.0	0	1	2	None	486.0	1	1637304.0	0.4860755	2	1637259.0	1637253.0	1637302.0	1637302.0	103	1637301.0
56.0	3.5	7	1	9	141	1	6.0	5	2	1	50.0	7	3.0	0	1	2	None	765.0	1	1637310.0	0.7648425999999999	2	1637259.0	1637253.0	1637309.0	1637309.0	103	1637306.0
62.5	3.5	7	1	4	81	1	6.0	5	1	1	56.5	5	3.0	0	1	1	None	1240.0	0	1637317.0	1.239703	2	1637259.0	1637253.0	1637315.0	1637315.0	103	1637312.0
