onset	duration	block	counterbalance	ChosenProbeColor	CorrectProbeColor	CurrentTask	LastITI	ProbeLoc	ProbeMatch	ProbeType	SeqStartTime	SetSize	ThisITI	centralJitter	chooseSequence	correctResp	error	msecProbeRT	probeACC	probeStart	probert	response	runStart	scannerStart	stimFlip	stimStart	subject	trialStart
160.0	3.5	1	1	1	160	1	6.0	2	1	1	154.0	4	1.0	0	16	1	None	830.0	1	1634300.0	0.8297955	1	1634145.0	1634139.0	1634299.0	1634299.0	103	1634298.0
167.0	3.5	1	1	3	81	1	6.0	5	1	1	161.0	5	3.5	0	16	1	None	1858.0	1	1634307.0	1.857693	1	1634145.0	1634139.0	1634306.0	1634306.0	103	1634302.0
171.5	3.5	1	1	9	101	1	6.0	9	2	1	165.5	7	1.0	0	16	2	None	1111.0	1	1634312.0	1.11057	2	1634145.0	1634139.0	1634310.0	1634310.0	103	1634309.0
177.0	3.5	1	1	1	160	1	6.0	5	1	1	171.0	4	2.0	0	16	1	None	770.0	1	1634317.0	0.7700269000000001	1	1634145.0	1634139.0	1634316.0	1634316.0	103	1634314.0
183.5	3.5	1	1	4	160	1	6.0	8	1	1	177.5	4	3.0	0	16	1	None	906.0	1	1634324.0	0.9061473	1	1634145.0	1634139.0	1634322.0	1634322.0	103	1634319.0
189.5	3.5	1	1	5	81	1	6.0	5	2	1	183.5	5	2.5	0	16	2	None	734.0	1	1634330.0	0.7341123	2	1634145.0	1634139.0	1634328.0	1634328.0	103	1634326.0
196.0	3.5	1	1	9	1	1	6.0	7	2	1	190.0	4	3.0	0	16	2	None	715.0	1	1634336.0	0.7153576	2	1634145.0	1634139.0	1634335.0	1634335.0	103	1634332.0
202.5	3.5	1	1	9	1	1	6.0	8	2	1	196.5	1	3.0	0	16	2	None	740.0	1	1634343.0	0.7401481	2	1634145.0	1634139.0	1634341.0	1634341.0	103	1634339.0
207.5	3.5	1	1	9	81	1	6.0	6	2	1	201.5	7	1.5	0	16	2	None	1168.0	0	1634348.0	1.167605	1	1634145.0	1634139.0	1634346.0	1634346.0	103	1634345.0
212.0	3.5	1	1	1	160	1	6.0	1	1	1	206.0	1	1.0	0	16	1	None	521.0	1	1634352.0	0.5214181	1	1634145.0	1634139.0	1634351.0	1634351.0	103	1634350.0
217.5	3.5	1	1	3	121	1	6.0	3	2	1	211.5	3	2.0	0	16	2	None	765.0	1	1634358.0	0.7647427	2	1634145.0	1634139.0	1634356.0	1634356.0	103	1634355.0
222.0	3.5	1	1	7	121	1	6.0	4	2	1	216.0	7	1.0	0	16	2	None	796.0	1	1634362.0	0.7964276	2	1634145.0	1634139.0	1634361.0	1634361.0	103	1634360.0
227.5	3.5	1	1	9	21	1	6.0	6	2	1	221.5	5	2.0	0	16	2	None	1290.0	0	1634368.0	1.290399	1	1634145.0	1634139.0	1634366.0	1634366.0	103	1634365.0
232.0	3.5	1	1	3	141	1	6.0	3	2	1	226.0	7	1.0	0	16	2	None	889.0	1	1634372.0	0.8893733	2	1634145.0	1634139.0	1634371.0	1634371.0	103	1634370.0
236.5	3.5	1	1	3	101	1	6.0	4	1	1	230.5	5	1.0	0	16	1	None	1546.0	0	1634377.0	1.545929	2	1634145.0	1634139.0	1634375.0	1634375.0	103	1634375.0
241.0	3.5	1	1	2	1	1	6.0	4	1	1	235.0	4	1.0	0	16	1	None	705.0	1	1634381.0	0.7051102	1	1634145.0	1634139.0	1634380.0	1634380.0	103	1634379.0
249.0	3.5	1	1	1	141	1	6.0	9	1	1	243.0	1	4.5	0	16	1	None	585.0	1	1634389.0	0.584627	1	1634145.0	1634139.0	1634388.0	1634388.0	103	1634384.0
253.5	3.5	1	1	1	160	1	6.0	6	2	1	247.5	4	1.0	0	16	2	None	706.0	1	1634394.0	0.7056653	2	1634145.0	1634139.0	1634392.0	1634392.0	103	1634392.0
260.5	3.5	1	1	3	141	1	6.0	3	1	1	254.5	7	3.5	0	16	1	None	1358.0	1	1634401.0	1.357513	1	1634145.0	1634139.0	1634399.0	1634399.0	103	1634396.0
269.5	3.5	1	1	9	21	1	6.0	5	2	1	263.5	4	5.5	0	16	2	None	894.0	1	1634410.0	0.8941444	2	1634145.0	1634139.0	1634408.0	1634408.0	103	1634403.0
278.5	3.5	1	1	1	41	1	6.0	3	1	1	272.5	5	5.5	0	16	1	None	1167.0	1	1634419.0	1.1671989999999999	1	1634145.0	1634139.0	1634417.0	1634417.0	103	1634412.0
285.0	3.5	1	1	9	81	1	6.0	3	2	1	279.0	5	3.0	0	16	2	None	932.0	1	1634425.0	0.9322077	2	1634145.0	1634139.0	1634424.0	1634424.0	103	1634421.0
290.0	3.5	1	1	9	21	1	6.0	7	2	1	284.0	7	1.5	0	16	2	None	816.0	1	1634430.0	0.8156124	2	1634145.0	1634139.0	1634429.0	1634429.0	103	1634428.0
296.0	3.5	1	1	4	21	1	6.0	5	1	1	290.0	4	2.5	0	16	1	None	900.0	1	1634436.0	0.8998745000000001	1	1634145.0	1634139.0	1634435.0	1634435.0	103	1634432.0
301.0	3.5	1	1	1	81	1	6.0	2	1	1	295.0	7	1.5	0	16	1	None	1307.0	1	1634441.0	1.3070709999999999	1	1634145.0	1634139.0	1634440.0	1634440.0	103	1634438.0
308.0	3.5	1	1	9	101	1	6.0	9	2	1	302.0	1	3.5	0	16	2	None	658.0	0	1634448.0	0.6577522	1	1634145.0	1634139.0	1634447.0	1634447.0	103	1634443.0
312.5	3.5	1	1	4	21	1	6.0	6	2	1	306.5	5	1.0	0	16	2	None	890.0	0	1634453.0	0.8901505	1	1634145.0	1634139.0	1634451.0	1634451.0	103	1634450.0
317.0	3.5	1	1	9	121	1	6.0	4	2	1	311.0	7	1.0	0	16	2	None	764.0	1	1634457.0	0.7639697	2	1634145.0	1634139.0	1634456.0	1634456.0	103	1634455.0
321.5	3.5	1	1	6	21	1	6.0	5	2	1	315.5	7	1.0	0	16	2	None	1266.0	0	1634462.0	1.2662010000000001	1	1634145.0	1634139.0	1634460.0	1634460.0	103	1634459.0
326.5	3.5	1	1	9	1	1	6.0	2	2	1	320.5	1	1.5	0	16	2	None	577.0	1	1634467.0	0.5771703	2	1634145.0	1634139.0	1634465.0	1634465.0	103	1634464.0
