subject, session, target, StimLat, CurrentTask, TaskCondition, block, trial, LoadLevel, SetSize, ShownLocs, AllColors, ShownColors, ProbeMatch, ChosenProbeColor, CorrectProbeColor, ProbeLoc, probert, msecProbeRT, probeACC, response, error, matchCond
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 25, 4, 7, [2 3 4 5 6 7 8], [1 41 81 121 161 201 241 281 320], [121 241 41 161 201 81 281], 2, 9, 320, 7, 7.569374e-01, 757, 1, d, NA, novel non-match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 26, 2, 3, [4 5 6], [1 41 81 121 161 201 241 281 320], [1 201 41], 1, 2, 201, 5, 7.347581e-01, 735, 0, d, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 27, 2, 3, [7 8 9], [1 41 81 121 161 201 241 281 320], [1 81 281], 2, 1, 1, 8, 6.243932e-01, 624, 1, d, NA, lure
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 28, 1, 1, 4, [1 41 81 121 161 201 241 281 320], 1, 1, 1, 1, 4, 6.813455e-01, 681, 1, s, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 29, 2, 3, [3 4 5], [1 41 81 121 161 201 241 281 320], [41 241 281], 1, 1, 41, 3, 1.066979e+00, 1067, 1, s, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 30, 1, 1, 1, [1 41 81 121 161 201 241 281 320], 320, 2, 9, 81, 1, 7.405131e-01, 741, 1, d, NA, novel non-match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 31, 2, 3, [5 6 7], [1 41 81 121 161 201 241 281 320], [121 320 81], 2, 1, 121, 7, 9.260760e-01, 926, 1, d, NA, lure
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 32, 1, 1, 9, [1 41 81 121 161 201 241 281 320], 161, 2, 9, 320, 9, 6.465703e-01, 647, 1, d, NA, novel non-match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 33, 3, 5, [2 3 4 5 6], [1 41 81 121 161 201 241 281 320], [201 1 81 161 41], 1, 3, 81, 4, 9.037944e-01, 904, 1, s, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 34, 4, 7, [1 2 3 4 5 6 7], [1 41 81 121 161 201 241 281 320], [241 161 1 41 281 121 201], 1, 3, 1, 3, 1.209915e+00, 1210, 0, d, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 35, 3, 5, [1 2 3 4 5], [1 41 81 121 161 201 241 281 320], [1 161 201 320 281], 2, 9, 41, 3, 8.346083e-01, 835, 1, d, NA, novel non-match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 36, 2, 3, [4 5 6], [1 41 81 121 161 201 241 281 320], [241 320 201], 2, 2, 320, 6, 7.315075e-01, 732, 1, d, NA, lure
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 37, 4, 7, [3 4 5 6 7 8 9], [1 41 81 121 161 201 241 281 320], [281 1 161 241 81 121 320], 1, 5, 81, 7, 1.245443e+00, 1245, 0, d, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 38, 4, 7, [1 2 3 4 5 6 7], [1 41 81 121 161 201 241 281 320], [1 201 41 241 161 121 281], 1, 2, 201, 2, 1.455085e+00, 1455, 0, d, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 39, 2, 3, [3 4 5], [1 41 81 121 161 201 241 281 320], [1 320 161], 2, 1, 1, 4, 1.239937e+00, 1240, 1, d, NA, lure
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 40, 4, 7, [3 4 5 6 7 8 9], [1 41 81 121 161 201 241 281 320], [241 201 281 1 320 161 81], 1, 6, 161, 8, 1.456974e+00, 1457, 0, d, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 41, 3, 5, [2 3 4 5 6], [1 41 81 121 161 201 241 281 320], [81 121 161 1 320], 1, 3, 161, 4, 1.523378e+00, 1523, 0, d, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 42, 1, 1, 8, [1 41 81 121 161 201 241 281 320], 241, 2, 9, 201, 8, 7.235745e-01, 724, 1, d, NA, novel non-match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 43, 1, 1, 7, [1 41 81 121 161 201 241 281 320], 241, 2, 9, 320, 7, 5.416242e-01, 542, 1, d, NA, novel non-match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 44, 2, 3, [1 2 3], [1 41 81 121 161 201 241 281 320], [121 41 1], 1, 1, 121, 1, 6.954942e-01, 695, 1, s, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 45, 4, 7, [2 3 4 5 6 7 8], [1 41 81 121 161 201 241 281 320], [320 121 81 281 201 241 161], 1, 6, 241, 7, 1.120530e+00, 1121, 0, d, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 46, 3, 5, [2 3 4 5 6], [1 41 81 121 161 201 241 281 320], [241 121 1 41 320], 1, 3, 1, 4, 1.169500e+00, 1170, 0, d, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 47, 4, 7, [3 4 5 6 7 8 9], [1 41 81 121 161 201 241 281 320], [241 121 41 201 281 1 81], 1, 6, 1, 8, 6.988926e-01, 699, 1, s, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 48, 1, 1, 7, [1 41 81 121 161 201 241 281 320], 320, 2, 9, 1, 7, 6.279451e-01, 628, 1, d, NA, novel non-match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 49, 1, 1, 1, [1 41 81 121 161 201 241 281 320], 81, 2, 9, 161, 1, 1.501501e+00, 1502, 1, d, NA, novel non-match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 50, 4, 7, [1 2 3 4 5 6 7], [1 41 81 121 161 201 241 281 320], [281 41 161 121 81 201 1], 1, 5, 81, 5, 1.046823e+00, 1047, 0, d, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 51, 2, 3, [3 4 5], [1 41 81 121 161 201 241 281 320], [201 161 1], 2, 9, 41, 4, 1.103890e+00, 1104, 1, d, NA, novel non-match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 52, 4, 7, [3 4 5 6 7 8 9], [1 41 81 121 161 201 241 281 320], [121 281 41 201 1 320 241], 1, 4, 201, 6, 1.265553e+00, 1266, 1, s, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 53, 4, 7, [3 4 5 6 7 8 9], [1 41 81 121 161 201 241 281 320], [121 161 320 1 241 81 201], 2, 1, 121, 7, 8.432525e-01, 843, 1, d, NA, lure
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 54, 4, 7, [3 4 5 6 7 8 9], [1 41 81 121 161 201 241 281 320], [161 81 241 281 201 41 121], 2, 7, 121, 8, 1.204109e+00, 1204, 1, d, NA, lure
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 55, 3, 5, [4 5 6 7 8], [1 41 81 121 161 201 241 281 320], [281 121 241 161 41], 2, 9, 320, 6, 8.457211e-01, 846, 1, d, NA, novel non-match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 56, 3, 5, [4 5 6 7 8], [1 41 81 121 161 201 241 281 320], [161 81 241 320 1], 2, 5, 1, 6, 7.822740e-01, 782, 1, d, NA, lure
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 57, 1, 1, 4, [1 41 81 121 161 201 241 281 320], 320, 2, 9, 201, 4, 6.723812e-01, 672, 1, d, NA, novel non-match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 58, 2, 3, [2 3 4], [1 41 81 121 161 201 241 281 320], [281 201 161], 1, 1, 281, 2, 7.696718e-01, 770, 1, s, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 59, 1, 1, 2, [1 41 81 121 161 201 241 281 320], 161, 1, 1, 161, 2, 5.142108e-01, 514, 1, s, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 60, 3, 5, [4 5 6 7 8], [1 41 81 121 161 201 241 281 320], [320 241 1 41 161], 2, 4, 41, 5, 7.889001e-01, 789, 1, d, NA, lure
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 61, 3, 5, [2 3 4 5 6], [1 41 81 121 161 201 241 281 320], [241 320 161 121 41], 1, 3, 161, 4, 1.189221e+00, 1189, 0, d, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 62, 3, 5, [4 5 6 7 8], [1 41 81 121 161 201 241 281 320], [320 281 161 1 41], 2, 9, 241, 6, 1.343650e+00, 1344, 0, s, NA, novel non-match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 63, 2, 3, [1 2 3], [1 41 81 121 161 201 241 281 320], [121 201 281], 1, 2, 201, 2, 9.526677e-01, 953, 1, s, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 64, 3, 5, [1 2 3 4 5], [1 41 81 121 161 201 241 281 320], [81 161 241 281 201], 2, 4, 281, 2, 6.976595e-01, 698, 0, s, NA, lure
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 65, 1, 1, 6, [1 41 81 121 161 201 241 281 320], 241, 1, 1, 241, 6, 999, 999000, 0, NA, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 66, 3, 5, [4 5 6 7 8], [1 41 81 121 161 201 241 281 320], [81 201 241 320 121], 1, 4, 320, 7, 9.480058e-01, 948, 0, d, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 67, 4, 7, [3 4 5 6 7 8 9], [1 41 81 121 161 201 241 281 320], [1 161 81 41 121 201 320], 1, 6, 201, 8, 8.618522e-01, 862, 0, d, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 68, 3, 5, [1 2 3 4 5], [1 41 81 121 161 201 241 281 320], [201 281 1 121 81], 1, 1, 201, 1, 6.153348e-01, 615, 1, s, NA, match
